iter	Passed	Remaining
837	46458	8981
838	46512	8925
839	46566	8869
840	46620	8814
841	46679	8759
842	46732	8703
843	46785	8647
844	46839	8591
845	46893	8536
846	46946	8480
847	46999	8424
848	47054	8368
849	47108	8313
850	47160	8257
851	47212	8201
852	47266	8145
853	47319	8089
854	47373	8034
855	47426	7978
856	47486	7923
857	47547	7869
858	47603	7813
859	47662	7759
860	47716	7703
861	47769	7647
862	47822	7591
863	47876	7536
864	47929	7480
865	47983	7424
866	48035	7368
867	48088	7313
868	48142	7257
869	48195	7201
870	48249	7146
871	48304	7090
872	48358	7034
873	48410	6979
874	48464	6923
875	48516	6867
876	48569	6811
877	48623	6756
878	48679	6701
879	48732	6645
880	48786	6589
881	48839	6534
882	48893	6478
883	48947	6423
884	49003	6367
885	49060	6312
886	49117	6257
887	49175	6202
888	49233	6147
889	49292	6092
890	49349	6037
891	49408	5982
892	49472	5927
893	49528	5872
894	49584	5817
895	49642	5762
896	49697	5706
897	49754	5651
898	49811	5596
899	49869	5541
900	49926	5485
901	49984	5430
902	50040	5375
903	50096	5319
904	50154	5264
905	50212	5209
906	50269	5154
907	50328	5099
908	50386	5044
909	50444	4988
910	50501	4933
911	50559	4878
912	50616	4823
913	50674	4768
914	50731	4712
915	50788	4657
916	50845	4602
917	50903	4546
918	50961	4491
919	51018	4436
920	51077	4381
921	51134	4325
922	51197	4271
923	51254	4215
924	51313	4160
925	51370	4105
926	51427	4049
927	51484	3994
928	51541	3939
929	51598	3883
930	51655	3828
931	51713	3773
932	51770	3717
933	51828	3662
934	51887	3607
935	51945	3551
936	52002	3496
937	52058	3440
938	52115	3385
939	52172	3330
940	52230	3274
941	52289	3219
942	52347	3164
943	52405	3108
944	52462	3053
945	52519	2997
946	52576	2942
947	52633	2887
948	52690	2831
949	52749	2776
950	52806	2720
951	52862	2665
952	52920	2609
953	52977	2554
954	53035	2499
955	53092	2443
956	53160	2388
957	53218	2333
958	53277	2277
959	53333	2222
960	53391	2166
961	53449	2111
962	53506	2055
963	53562	2000
964	53620	1944
965	53678	1889
966	53734	1833
967	53793	1778
968	53850	1722
969	53907	1667
970	53967	1611
971	54023	1556
972	54079	1500
973	54138	1445
974	54198	1389
975	54255	1334
976	54313	1278
977	54369	1223
978	54426	1167
979	54483	1111
980	54540	1056
981	54597	1000
982	54653	945
983	54712	889
984	54770	834
985	54825	778
986	54883	722
987	54942	667
988	54998	611
989	55054	556
990	55112	500
991	55170	444
992	55225	389
993	55282	333
994	55339	278
995	55396	222
996	55453	166
997	55509	111
998	55566	55
999	55624	0
